,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
15.png,0.2889,0.2551,0.2551,0.2551,0.4482,0.4065,0.4065,0.4065,1
137.png,0.2753,0.2181,0.2181,0.2181,0.4317,0.358,0.358,0.358,1
2.png,0.4689,0.3499,0.3499,0.3499,0.6384,0.5184,0.5184,0.5184,1
180.png,0.4479,0.4797,0.4797,0.4797,0.6187,0.6483,0.6483,0.6483,1
151.png,0.3531,0.3709,0.3709,0.3709,0.5219,0.5411,0.5411,0.5411,1
213.png,0.1973,0.1737,0.1737,0.1737,0.3293,0.2959,0.2959,0.2959,1
166.png,0.2766,0.2757,0.2757,0.2757,0.4333,0.4322,0.4322,0.4322,1
248.png,0.7215,0.7006,0.7006,0.7006,0.8382,0.8239,0.8239,0.8239,1
188.png,0.4119,0.4142,0.4142,0.4142,0.5835,0.5858,0.5858,0.5858,1
150.png,0.7466,0.6474,0.6474,0.6474,0.8549,0.786,0.786,0.786,1
211.png,0.1663,0.1268,0.1268,0.1268,0.2849,0.2249,0.2249,0.2249,1
174.png,0.7626,0.5879,0.5879,0.5879,0.8653,0.7404,0.7404,0.7404,1
127.png,0.8149,0.7913,0.7913,0.7913,0.898,0.8835,0.8835,0.8835,1
161.png,0.526,0.5286,0.5286,0.5286,0.6894,0.6916,0.6916,0.6916,1
235.png,0.7022,0.6435,0.6435,0.6435,0.825,0.783,0.783,0.783,1
214.png,0.0016,0.0006,0.0006,0.0006,0.0016,0.0006,0.0006,0.0006,1
147.png,0.7098,0.572,0.572,0.572,0.8303,0.7277,0.7277,0.7277,1
104.png,0.5541,0.3791,0.3791,0.3791,0.713,0.5498,0.5498,0.5498,1
152.png,0.2269,0.2483,0.2483,0.2483,0.3699,0.3978,0.3978,0.3978,1
192.png,0.3406,0.3219,0.3219,0.3219,0.5081,0.487,0.487,0.487,1
19.png,0.5088,0.41,0.41,0.41,0.6744,0.5816,0.5816,0.5816,1
244.png,0.7456,0.5654,0.5654,0.5654,0.8543,0.7224,0.7224,0.7224,1
23.png,0.6971,0.5932,0.5932,0.5932,0.8215,0.7446,0.7446,0.7446,1
212.png,0.3815,0.3151,0.3151,0.3151,0.5521,0.4791,0.4791,0.4791,1
183.png,0.2431,0.2464,0.2464,0.2464,0.3911,0.3953,0.3953,0.3953,1
105.png,0.5389,0.4868,0.4868,0.4868,0.7004,0.6548,0.6548,0.6548,1
