,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
28.png,0.5765,0.3147,0.8483,0.7084,0.7314,0.4787,0.9179,0.8293,1
289.png,0.4137,0.7379,0.6912,0.6802,0.5853,0.8492,0.8174,0.8096,1
86.png,0.4415,0.721,0.789,0.7747,0.6125,0.8379,0.882,0.8731,1
293.png,0.6495,0.8594,0.6172,0.8268,0.7875,0.9244,0.7633,0.9052,1
288.png,0.7745,0.9052,0.6815,0.858,0.8729,0.9502,0.8106,0.9236,1
93.png,0.8295,0.8909,0.8824,0.8833,0.9068,0.9423,0.9375,0.938,1
3.png,0.7868,0.8528,0.9086,0.8722,0.8807,0.9205,0.9521,0.9317,1
59.png,0.2914,0.8665,0.7697,0.8378,0.4513,0.9285,0.8699,0.9117,1
285.png,0.5822,0.8763,0.819,0.8649,0.7359,0.934,0.9005,0.9275,1
257.png,0.4658,0.2971,0.3943,0.385,0.6355,0.4581,0.5656,0.556,1
88.png,0.5587,0.7508,0.7804,0.7657,0.7168,0.8577,0.8767,0.8673,1
266.png,0.3429,0.7939,0.8071,0.8214,0.5106,0.8851,0.8933,0.9019,1
65.png,0.5774,0.9001,0.899,0.8957,0.732,0.9474,0.9468,0.945,1
39.png,0.2078,0.76,0.7242,0.7037,0.3441,0.8636,0.84,0.8261,1
284.png,0.2455,0.8558,0.8278,0.8576,0.3942,0.9223,0.9058,0.9234,1
75.png,0.4012,0.8604,0.8628,0.8515,0.5726,0.9249,0.9263,0.9198,1
283.png,0.3782,0.8702,0.8698,0.8548,0.5489,0.9306,0.9304,0.9217,1
40.png,0.7076,0.8791,0.7559,0.8909,0.8287,0.9356,0.861,0.9423,1
295.png,0.6853,0.898,0.8649,0.8779,0.8132,0.9462,0.9275,0.935,1
81.png,0.5722,0.0001,0.9109,0.6481,0.7279,0.0001,0.9534,0.7865,1
60.png,0.2834,0.6741,0.7827,0.7668,0.4416,0.8053,0.8781,0.868,1
48.png,0.5237,0.8839,0.7728,0.8482,0.6874,0.9384,0.8718,0.9179,1
280.png,0.6122,0.5476,0.8332,0.7089,0.7594,0.7077,0.909,0.8297,1
270.png,0.215,0.2645,0.6702,0.3612,0.3538,0.4183,0.8025,0.5307,1
6.png,0.394,0.3388,0.7366,0.511,0.5652,0.5061,0.8483,0.6763,1
70.png,0.3438,0.9025,0.6892,0.7241,0.5117,0.9487,0.816,0.84,1
89.png,0.5286,0.7702,0.7747,0.7653,0.6916,0.8702,0.8731,0.867,1
54.png,0.6091,0.8735,0.8304,0.8805,0.7571,0.9325,0.9073,0.9365,1
298.png,0.6081,0.8454,0.8635,0.8555,0.7563,0.9162,0.9267,0.9221,1
73.png,0.6223,0.8472,0.8414,0.85,0.7672,0.9173,0.9139,0.9189,1
291.png,0.644,0.6305,0.8599,0.719,0.7835,0.7734,0.9246,0.8365,1
269.png,0.5538,0.0271,0.628,0.613,0.7128,0.0526,0.7715,0.7601,1
29.png,0.287,0.8376,0.2419,0.497,0.446,0.9116,0.3895,0.6639,1
281.png,0.3601,0.183,0.7399,0.4348,0.5295,0.3094,0.8505,0.6061,1
82.png,0.8418,0.9123,0.8686,0.9067,0.9141,0.9542,0.9297,0.9511,1
66.png,0.759,0.881,0.7788,0.8975,0.863,0.9368,0.8756,0.946,1
33.png,0.0002,0.0004,0.0004,0.0004,0.0002,0.0004,0.0004,0.0004,1
50.png,0.1609,0.8671,0.7648,0.7853,0.2772,0.9288,0.8667,0.8797,1
52.png,0.383,0.8475,0.3708,0.6419,0.5538,0.9175,0.541,0.7819,1
85.png,0.3035,0.8614,0.8559,0.8524,0.4657,0.9256,0.9224,0.9203,1
271.png,0.5894,0.8274,0.8449,0.8331,0.7417,0.9056,0.9159,0.909,1
4.png,0.6129,0.8868,0.6961,0.7553,0.76,0.94,0.8208,0.8606,1
263.png,0.4928,0.0862,0.8255,0.5611,0.6602,0.1587,0.9044,0.7188,1
299.png,0.6389,0.8307,0.8742,0.8375,0.7797,0.9075,0.9329,0.9116,1
274.png,0.5766,0.7701,0.7547,0.7834,0.7315,0.8701,0.8602,0.8785,1
